osmid,geometry,type,district
356764124,POINT (44.5188764 40.1715376),shop,Kentron
370047088,POINT (44.5022467 40.1770298),church,Kentron
370050884,POINT (44.5124506 40.1767576),shop,Kentron
370050885,POINT (44.5194035 40.1835034),shop,Kentron
370050886,POINT (44.5159313 40.1884653),shop,Kentron
370052673,POINT (44.5248669 40.1783161),cafe,Kentron
370052729,POINT (44.5204432 40.178394),cafe,Kentron
370052735,POINT (44.5244171 40.1786208),cafe,Kentron
370054109,POINT (44.5165454 40.1832612),cafe,Kentron
370055074,POINT (44.5190893 40.1882908),cafe,Kentron
370064207,POINT (44.513235 40.1705375),cafe,Kentron
370064214,POINT (44.5169551 40.1720019),church,Kentron
370066151,POINT (44.5130974 40.1766863),shop,Kentron
370072753,POINT (44.5109813 40.1773715),shop,Kentron
370085062,POINT (44.5080477 40.1805441),shop,Kentron
370085096,POINT (44.5136171 40.1744794),shop,Kentron
370089975,POINT (44.5136209 40.1682413),shop,Kentron
370089980,POINT (44.5130313 40.1682674),shop,Kentron
370148312,POINT (44.517692 40.183031),cafe,Kentron
370158342,POINT (44.5160611 40.1790014),shop,Kentron
370158511,POINT (44.5180149 40.181742),shop,Kentron
370158519,POINT (44.5186267 40.1831915),cafe,Kentron
370158730,POINT (44.5205564 40.1862696),school,Kentron
373127615,POINT (44.5235664 40.1778934),cafe,Kentron
373194287,POINT (44.5217497 40.1738955),shop,Kentron
374197469,POINT (44.5141879 40.1800721),cafe,Kentron
374197484,POINT (44.5139932 40.179922),cafe,Kentron
374208972,POINT (44.523888 40.1773437),cafe,Kentron
374208979,POINT (44.5140074 40.1889084),cafe,Kentron
374208986,POINT (44.5152042 40.187883),cafe,Kentron
374208993,POINT (44.5164986 40.184845),cafe,Kentron
374208999,POINT (44.5179639 40.1888541),cafe,Kentron
374209009,POINT (44.5178141 40.1854041),cafe,Kentron
374209047,POINT (44.5136671 40.1855842),cafe,Kentron
374209059,POINT (44.5132635 40.1852291),shop,Kentron
374209070,POINT (44.5122393 40.185929),shop,Kentron
374210482,POINT (44.5110242 40.1868144),cafe,Kentron
376012490,POINT (44.5179916 40.1891965),cafe,Kentron
376014098,POINT (44.5044129 40.1932489),university,Kentron
378366528,POINT (44.5208333 40.1857071),cafe,Kentron
610975871,POINT (44.5107072 40.1851173),cafe,Kentron
610977315,POINT (44.5150459 40.1839169),cafe,Kentron
611320935,POINT (44.4952362 40.2017843),shop,Arabkir
614238521,POINT (44.5037173 40.185317),church,Kentron
616054277,POINT (44.5051399 40.2057302),cafe,Arabkir
621844749,POINT (44.561679 40.194192),hospital,Nor-norq
626138299,POINT (44.5075957 40.2067226),work,Arabkir
628209322,POINT (44.5179075 40.1841259),shop,Kentron
631461899,POINT (44.5011843 40.2041243),shop,Arabkir
633319308,POINT (44.4777415 40.2060786),hospital,Ajapnyak
633319421,POINT (44.5014409 40.209191),hospital,Arabkir
633319446,POINT (44.4888673 40.2139416),church,Davitashen
633353508,POINT (44.4801074 40.2104587),hospital,Ajapnyak
633546046,POINT (44.5017316 40.2016731),hospital,Arabkir
649057893,POINT (44.4989147 40.203159),shop,Arabkir
700215846,POINT (44.5322576 40.2061235),church,Qanaqer zeuytun
700215922,POINT (44.5340713 40.2066313),work,Qanaqer zeuytun
701603375,POINT (44.5015381 40.2048205),shop,Arabkir
711016755,POINT (44.5220365 40.1813771),shop,Kentron
711016759,POINT (44.519204 40.1836928),shop,Kentron
711059171,POINT (44.5120065 40.2071736),shop,Arabkir
718116749,POINT (44.515298 40.20695),shop,Arabkir
726543754,POINT (44.5119646 40.1865646),cafe,Kentron
726543762,POINT (44.5133723 40.1866194),cafe,Kentron
